role,name,team
student,nickczh,CS2113T-T09-1
student,e0958902,CS2113T-T09-1
student,kyuichyi,CS2113T-T09-1
student,YHWong20,CS2113T-T09-2
student,XavierLiau34,CS2113T-T09-2
student,nur-haziq,CS2113T-T09-2
student,nkotaa,CS2113T-T09-2
student,PureUsagi,CS2113T-T09-2
student,imanamirshah,CS2113T-T09-2
student,cheeseong2001,CS2113T-T09-3
student,NgYaoDong,CS2113T-T09-3
student,wjunjie01,CS2113T-T09-3
student,Kobot7,CS2113T-T09-3
student,EdmundTangg,CS2113T-T09-3
student,leongxingyu,CS2113T-T09-3
student,raajamani,CS2113T-T09-4
student,syj02,CS2113T-T09-4
student,rouvinerh,CS2113T-T09-4
student,L5-Z,CS2113T-T09-4
student,JustinSoh,CS2113T-T09-4
student,j013n3,CS2113T-T09-4
students,chunweii,dev-team
students,vigneshsankariyer1234567890,dev-team
students,cheehongw,dev-team
students,luminousleek,dev-team
students,itsyme,dev-team
students,MadLamprey,dev-team
students,nknguyenhc,dev-team
students,NereusWB922,dev-team
students,Arif-Khalid,dev-team
student,okkhoy,teaching-team
student,damithc,teaching-team
